Gene	miRNA
SNORD116-11	HBII-85-11
SNORD116-12	HBII-85-12
SNORD116-13	HBII-85-13
SNORD116-14	HBII-85-14
SNORD116-15	HBII-85-15
SNORD116-16	HBII-85-16
SNORD116-18	HBII-85-18
SNORD116-17	HBII-85-19
SNORD116-19	HBII-85-19
SNORD116-20	HBII-85-20
SNORD116-21	HBII-85-21
SNORD116-22	HBII-85-22
SNORD116-23	HBII-85-23
SNORD116-24	HBII-85-24
SNORD116-25	HBII-85-25
SNORD116-26	HBII-85-26
SNORD116-27	HBII-85-27
SNORD116-28	HBII-85-28
SNORD116-29	HBII-85-29
SNORD115-1	HBII-52-1
SNORD115-2	HBII-52-2
SNORD115-3	HBII-52-3
SNORD115-4	HBII-52-4
SNORD115-5	HBII-52-5
SNORD115-9	HBII-52-5
SNORD115-12	HBII-52-5
SNORD115-10	HBII-52-5
SNORD115-6	HBII-52-6
SNORD115-7	HBII-52-7
SNORD115-8	HBII-52-8
SNORD115-36	HBII-52-11
SNORD115-11	HBII-52-11
SNORD115-13	HBII-52-13
SNORD115-14	HBII-52-14
SNORD115-16	HBII-52-16
SNORD115-17	HBII-52-17
SNORD115-18	HBII-52-18
SNORD115-19	HBII-52-19
SNORD115-15	HBII-52-20
SNORD115-21	HBII-52-20
SNORD115-20	HBII-52-20
SNORD115-15	HBII-52-21
SNORD115-21	HBII-52-21
SNORD115-15	HBII-52-22
SNORD115-22	HBII-52-22
SNORD115-21	HBII-52-22
SNORD115-15	HBII-52-23
SNORD115-23	HBII-52-23
SNORD115-21	HBII-52-23
PAR4	HBII-52-23
SNORD115-25	HBII-52-25
SNORD115-15	HBII-52-25
SNORD115-21	HBII-52-25
SNORD115-26	HBII-52-26
SNORD115-15	HBII-52-26
SNORD115-21	HBII-52-26
SNORD115-15	HBII-52-29
SNORD115-21	HBII-52-29
SNORD115-15	HBII-52-30
SNORD115-21	HBII-52-30
SNORD115-30	HBII-52-30
SNORD115-15	HBII-52-31
SNORD115-21	HBII-52-31
SNORD115-31	HBII-52-31
SNORD115-15	HBII-52-32
SNORD115-21	HBII-52-32
SNORD115-32	HBII-52-32
SNORD115-15	HBII-52-33
SNORD115-21	HBII-52-33
SNORD115-33	HBII-52-33
SNORD115-15	HBII-52-34
SNORD115-21	HBII-52-34
SNORD115-34	HBII-52-34
SNORD115-35	HBII-52-35
SNORD115-43	HBII-52-36
SNORD115-37	HBII-52-37
SNORD115-38	HBII-52-38
SNORD115-39	HBII-52-39
SNORD115-40	HBII-52-40
SNORD115-41	HBII-52-41
SNORD115-42	HBII-52-42
SNORD115-29	HBII-52-43
SNORD115-44	HBII-52-44
SNORD115-48	HBII-52-48
TRPM1	hsa-mir-211
GOLGA8A	hsa-mir-1233-1
GOLGA8B	hsa-mir-1233-2
MGA	hsa-mir-626
SPTBN5	hsa-mir-4310
